distributionName	smootherType	Width	numberOfFolds	randomNBayesSeed	avgTrainLoss	avgTestLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime	avgPredictTime
kernel	box	0.20000000	2	1	0.2340	0.2416	0.7573	0.7578	0.7702	0.7639	3200	39.5313	3.5078
kernel	box	0.20000000	3	2	0.2340	0.2457	0.7535	0.7538	0.7690	0.7613	3200	60.3594	3.5313
kernel	box	0.20000000	5	3	0.2337	0.2516	0.7485	0.7481	0.7624	0.7552	3200	97.9844	3.3906
kernel	box	0.18000000	2	4	0.2308	0.2592	0.7412	0.7408	0.7557	0.7482	3200	38.1250	3.3359
kernel	box	0.18000000	3	5	0.2343	0.2526	0.7466	0.7473	0.7600	0.7536	3200	57.0625	3.1042
kernel	box	0.18000000	5	6	0.2349	0.2448	0.7550	0.7547	0.7694	0.7620	3200	97.3906	3.2969
kernel	box	0.13000000	2	7	0.2314	0.2550	0.7455	0.7446	0.7587	0.7516	3200	38.4688	3.2266
kernel	box	0.13000000	3	8	0.2336	0.2565	0.7425	0.7428	0.7583	0.7505	3200	57.8281	3.3385
kernel	box	0.13000000	5	9	0.2362	0.2452	0.7541	0.7543	0.7687	0.7614	3200	96.0625	3.2656
kernel	box	0.12000000	2	10	0.2328	0.2503	0.7492	0.7494	0.7618	0.7555	3200	38.7500	3.2109
kernel	box	0.12000000	3	11	0.2334	0.2490	0.7515	0.7504	0.7650	0.7577	3200	59.2031	3.3333
kernel	box	0.12000000	5	12	0.2325	0.2557	0.7443	0.7437	0.7586	0.7511	3200	96.6406	3.2844
kernel	box	0.11000000	2	13	0.2364	0.2394	0.7592	0.7602	0.7726	0.7663	3200	37.5625	3.1797
kernel	box	0.11000000	3	14	0.2337	0.2542	0.7450	0.7455	0.7589	0.7521	3200	58.0156	3.4375
kernel	box	0.11000000	5	15	0.2331	0.2501	0.7496	0.7495	0.7638	0.7566	3200	96.6250	3.2531
kernel	box	0.10000000	2	16	0.2327	0.2545	0.7467	0.7449	0.7633	0.7540	3200	38.6719	3.4922
kernel	box	0.10000000	3	17	0.2359	0.2471	0.7527	0.7525	0.7644	0.7584	3200	57.8906	3.4583
kernel	box	0.10000000	5	18	0.2344	0.2489	0.7509	0.7508	0.7656	0.7582	3200	96.1719	3.2156
kernel	box	0.09000000	2	19	0.2325	0.2519	0.7481	0.7476	0.7632	0.7553	3200	38.7188	3.4922
kernel	box	0.09000000	3	20	0.2326	0.2517	0.7480	0.7480	0.7625	0.7552	3200	57.9844	3.4063
kernel	box	0.09000000	5	21	0.2345	0.2493	0.7507	0.7501	0.7639	0.7570	3200	96.2656	3.2813
kernel	box	0.80000000	2	22	0.5043	0.5038	0.4969	0.4952	0.5404	0.5168	3200	67.9688	5.6953
kernel	box	0.80000000	3	23	0.5054	0.5057	0.4932	0.4932	0.5327	0.5122	3200	101.4531	5.7292
kernel	box	0.80000000	5	24	0.5054	0.5087	0.4914	0.4904	0.5301	0.5094	3200	168.3906	5.7250
