distributionName	smootherType	Width	numberOfFolds	randomNBayesSeed	avgTrainLoss	avgTestLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime	avgPredictTime
kernel	epanechnikov	0.20000000	2	2	0.2468	0.2562	0.7427	0.7431	0.7570	0.7500	3200	77.3500	8.8900
kernel	epanechnikov	0.20000000	3	3	0.2482	0.2574	0.7418	0.7422	0.7585	0.7503	3200	124.0400	6.0833
kernel	epanechnikov	0.20000000	5	5	0.2489	0.2612	0.7391	0.7385	0.7539	0.7461	3200	192.8100	5.7820
kernel	epanechnikov	0.18000000	2	2	0.2350	0.2584	0.7420	0.7416	0.7564	0.7489	3200	72.0600	7.8100
kernel	epanechnikov	0.18000000	3	3	0.2383	0.2536	0.7454	0.7463	0.7603	0.7532	3200	100.8200	5.2133
kernel	epanechnikov	0.18000000	5	5	0.2387	0.2462	0.7537	0.7534	0.7678	0.7605	3200	176.4200	5.5560
kernel	epanechnikov	0.13000000	2	2	0.2314	0.2550	0.7455	0.7446	0.7587	0.7516	3200	65.1900	5.5150
kernel	epanechnikov	0.13000000	3	3	0.2336	0.2565	0.7425	0.7428	0.7583	0.7505	3200	91.5900	4.5033
kernel	epanechnikov	0.13000000	5	5	0.2362	0.2452	0.7541	0.7543	0.7687	0.7614	3200	153.4800	4.4900
kernel	epanechnikov	0.12000000	2	2	0.2328	0.2503	0.7492	0.7494	0.7618	0.7555	3200	53.8700	4.5050
kernel	epanechnikov	0.12000000	3	3	0.2334	0.2490	0.7515	0.7504	0.7650	0.7577	3200	94.4800	5.2400
kernel	epanechnikov	0.12000000	5	5	0.2325	0.2557	0.7443	0.7437	0.7586	0.7511	3200	151.1300	5.7040
kernel	epanechnikov	0.11000000	2	2	0.2364	0.2394	0.7592	0.7602	0.7726	0.7663	3200	62.6700	4.4850
kernel	epanechnikov	0.11000000	3	3	0.2337	0.2542	0.7450	0.7455	0.7589	0.7521	3200	89.4300	4.4833
kernel	epanechnikov	0.11000000	5	5	0.2331	0.2501	0.7496	0.7495	0.7638	0.7566	3200	151.7600	4.8440
kernel	epanechnikov	0.10000000	2	2	0.2327	0.2545	0.7467	0.7449	0.7633	0.7540	3200	55.4200	4.4850
kernel	epanechnikov	0.10000000	3	3	0.2359	0.2471	0.7527	0.7525	0.7644	0.7584	3200	95.2100	6.2000
kernel	epanechnikov	0.10000000	5	5	0.2344	0.2489	0.7509	0.7508	0.7656	0.7582	3200	146.4900	4.7800
kernel	epanechnikov	0.09000000	2	2	0.2325	0.2519	0.7481	0.7476	0.7632	0.7553	3200	62.6700	4.5100
kernel	epanechnikov	0.09000000	3	3	0.2326	0.2517	0.7480	0.7480	0.7625	0.7552	3200	89.3000	4.5067
kernel	epanechnikov	0.09000000	5	5	0.2345	0.2493	0.7507	0.7501	0.7639	0.7570	3200	152.3200	6.0580
kernel	epanechnikov	0.80000000	2	2	0.4169	0.4216	0.5798	0.5774	0.6257	0.6005	3200	140.1100	10.4400
kernel	epanechnikov	0.80000000	3	3	0.4168	0.4189	0.5811	0.5801	0.6288	0.6034	3200	217.6200	13.8800
kernel	epanechnikov	0.80000000	5	5	0.4180	0.4257	0.5759	0.5734	0.6201	0.5958	3200	350.3900	12.0320
