feature	tree	folds	randomTreebagSeed	avgTrainLoss	avgTestLoss	avgOobLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime	avgPredictTime
2	50	2	1	0.0052	0.0662	0.1249	0.9544	0.9539	0.9544	0.9541	3200	28.9219	1.0391
2	50	3	2	0.0056	0.0620	0.1271	0.9581	0.9576	0.9581	0.9578	3200	45.1563	1.1250
2	50	5	3	0.0054	0.0636	0.1270	0.9572	0.9574	0.9574	0.9574	3200	73.2969	1.0125
4	50	2	4	0.0039	0.0620	0.1171	0.9545	0.9541	0.9546	0.9544	3200	31.3906	0.9922
4	50	3	5	0.0041	0.0655	0.1171	0.9526	0.9526	0.9533	0.9530	3200	46.3125	1.0625
4	50	5	6	0.0041	0.0655	0.1185	0.9514	0.9511	0.9518	0.9515	3200	77.0781	1.0437
6	50	2	7	0.0038	0.0632	0.1181	0.9506	0.9503	0.9509	0.9506	3200	32.1094	0.9375
6	50	3	8	0.0039	0.0645	0.1189	0.9503	0.9500	0.9511	0.9506	3200	47.9063	1.0521
6	50	5	9	0.0039	0.0640	0.1169	0.9503	0.9502	0.9512	0.9507	3200	85.3906	1.0094
8	50	2	10	0.0040	0.0692	0.1204	0.9430	0.9426	0.9429	0.9427	3200	35.0469	1.0781
8	50	3	11	0.0039	0.0690	0.1186	0.9469	0.9469	0.9469	0.9469	3200	53.7813	1.0521
8	50	5	12	0.0040	0.0703	0.1184	0.9444	0.9440	0.9444	0.9442	3200	87.3594	0.9875
10	50	2	13	0.0037	0.0713	0.1192	0.9402	0.9402	0.9407	0.9404	3200	38.0938	0.9609
10	50	3	14	0.0041	0.0722	0.1216	0.9419	0.9415	0.9422	0.9418	3200	55.1094	0.7917
10	50	5	15	0.0040	0.0700	0.1214	0.9430	0.9431	0.9433	0.9432	3200	92.6719	0.9219
12	50	2	16	0.0043	0.0844	0.1319	0.9281	0.9278	0.9288	0.9283	3200	37.6094	0.8203
12	50	3	17	0.0044	0.0848	0.1324	0.9278	0.9272	0.9279	0.9276	3200	56.8438	0.9271
12	50	5	18	0.0044	0.0838	0.1321	0.9289	0.9287	0.9295	0.9291	3200	94.8281	0.9750
2	100	2	19	0.0031	0.0573	0.0898	0.9563	0.9561	0.9568	0.9564	3200	59.2969	2.0859
2	100	3	20	0.0030	0.0558	0.0888	0.9571	0.9569	0.9576	0.9572	3200	88.7031	1.8333
2	100	5	21	0.0028	0.0534	0.0895	0.9591	0.9588	0.9591	0.9590	3200	145.4375	2.0063
4	100	2	22	0.0022	0.0527	0.0847	0.9572	0.9563	0.9572	0.9568	3200	61.4531	1.9688
4	100	3	23	0.0021	0.0549	0.0844	0.9564	0.9561	0.9566	0.9563	3200	94.4063	2.0208
4	100	5	24	0.0021	0.0539	0.0851	0.9570	0.9567	0.9573	0.9570	3200	156.3906	2.0063
6	100	2	25	0.0021	0.0562	0.0853	0.9539	0.9531	0.9537	0.9534	3200	65.2188	2.1328
